loan_id,loan_purpose,is_first_loan,total_credit_card_limit,avg_percentage_credit_card_limit_used_last_year,saving_amount,checking_amount,is_employed,yearly_salary,age,dependent_number,label
A_1,personal,1,7900,0.8,1103,6393,1,16400,42,4,0
A_2,personal,0,3300,0.29,2588,832,1,75500,56,1,0
A_3,personal,0,7600,0.9,1651,8868,1,59000,46,1,0
A_4,personal,1,3400,0.38,1269,6863,1,26000,55,8,0
A_5,emergency,0,2600,0.89,1310,3423,1,9700,41,4,1
A_6,operations,0,7600,0.51,1040,2406,1,22900,52,0,0
A_7,operations,1,6900,0.82,2408,5556,1,34800,48,4,0
A_8,personal,0,5700,0.56,1933,4139,1,32500,64,2,0
A_9,personal,1,3400,0.95,3866,4131,1,13300,23,3,0
A_10,personal,0,2900,0.91,88,2725,1,21100,52,1,1
A_11,others,1,4900,0.56,1306,2341,1,18300,36,6,0
A_12,operations,0,7900,0.52,1077,935,1,34200,62,7,0
A_13,emergency,1,2500,0.86,873,1846,1,26100,49,8,1
A_14,property,1,3000,0.78,699,5315,1,27800,33,8,0
A_15,others,1,3000,0.92,1358,661,0,0,47,3,1
A_16,emergency,0,2900,0.75,1301,4074,1,46200,55,8,0
A_17,personal,0,4800,0.22,955,1359,1,41400,40,1,0
A_19,emergency,1,3700,0.93,1501,1716,1,39500,32,4,1
A_20,operations,0,4600,0.38,348,2408,0,0,46,8,1
A_21,personal,0,5400,0.6,692,846,1,69400,47,1,0
A_22,operations,1,4100,0.64,2878,5141,1,10300,34,3,0
A_23,operations,1,4600,0.87,3528,1598,1,19700,51,8,0
A_24,others,0,2700,0.69,2030,2972,1,44700,21,6,1
A_25,property,0,5900,0.67,2118,8704,1,23500,52,1,0
A_26,personal,1,7300,0.3,1468,2497,1,29000,33,0,0
A_27,operations,1,3400,0.67,1058,3863,1,24200,69,6,1
A_28,others,1,3100,0.73,1268,1930,1,36200,41,1,1
A_29,personal,0,2900,0.73,1312,2929,1,17700,64,1,1
A_30,others,1,7100,0.48,1958,3408,1,52200,44,1,0
A_31,property,0,4500,0.66,1415,2337,1,30400,49,6,0
A_32,others,0,3000,0.78,3208,3096,1,31700,45,8,0
A_33,operations,1,4100,0.53,1147,4041,1,39000,25,8,0
A_34,emergency,1,6400,0.75,2994,321,1,39300,25,2,0
